E1-E0E0E0+E0 S2= 0.0 Sz= 0.0 P=0:2
E1-E0E0E0E0+ S2= 0.0 Sz= 0.0 P=0:1
E1-E0E0E0E0+ S2= 0.0 Sz= 0.0 P=0:2
E1-E0+E0E0E0 S2= 0.0 Sz= 0.0 P=0:3
E1-E0+E0E0E0 S2= 0.0 Sz= 0.0 P=0:4
E1-E0E0+E0E0 S2= 0.0 Sz= 0.0 P=0:3
E1-E0E0+E0E0 S2= 0.0 Sz= 0.0 P=0:4
E1-E0E0E0+E0 S2= 0.0 Sz= 0.0 P=0:3
E1-E0E0E0+E0 S2= 0.0 Sz= 0.0 P=0:4
E1-E0E0E0E0+ S2= 0.0 Sz= 0.0 P=0:3
E1-E0E0E0E0+ S2= 0.0 Sz= 0.0 P=0:4
E0++E0E0E0E2-- S2= 0.0 Sz= 0.0 P=0:1
E0++E0E0E0E2-- S2= 0.0 Sz= 0.0 P=0:2
E0++E0E0E0E2-- S2= 0.0 Sz= 0.0 P=0:3
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:1
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:2
E0++E0E0E2--E0 S2= 0.0 Sz= 0.0 P=0:1
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:3
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:4
E0++E0E0E2--E0 S2= 0.0 Sz= 0.0 P=0:2
E0++E0E0E2--E0 S2= 0.0 Sz= 0.0 P=0:3
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:1
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:2
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:1
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:2
E0++E0E2--E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:3
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:4
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:3
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:4
E0++E0E2--E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0++E0E2--E0E0 S2= 0.0 Sz= 0.0 P=0:3
E0++E1-E0E0E1- S2= 0.0 Sz= 0.0 P=0:1
E0++E1-E0E0E1- S2= 0.0 Sz= 0.0 P=0:2
E0++E1-E0E1-E0 S2= 0.0 Sz= 0.0 P=0:1
E0++E1-E0E1-E0 S2= 0.0 Sz= 0.0 P=0:2
E0++E1-E1-E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0++E1-E1-E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0++E2--E0E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0++E1-E0E0E1- S2= 0.0 Sz= 0.0 P=0:3
E0++E1-E0E0E1- S2= 0.0 Sz= 0.0 P=0:4
E0++E1-E0E1-E0 S2= 0.0 Sz= 0.0 P=0:3
E0++E1-E0E1-E0 S2= 0.0 Sz= 0.0 P=0:4
E0++E1-E1-E0E0 S2= 0.0 Sz= 0.0 P=0:3
E0++E1-E1-E0E0 S2= 0.0 Sz= 0.0 P=0:4
E0++E2--E0E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0++E2--E0E0E0 S2= 0.0 Sz= 0.0 P=0:3
E1+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:1
E1+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:2
E1+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:1
E1+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:2
E1+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:1
E1+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:2
E1+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:1
E1+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:2
E2E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:1
E1+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:3
E1+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:4
E1+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:3
E1+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:4
E1+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:3
E1+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:4
E1+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:3
E1+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:4
E2E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:2
E2E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:3
E0++E0E0E0E2-- S2= 0.0 Sz= 0.0 P=0:4
E0++E0E0E0E2-- S2= 0.0 Sz= 0.0 P=0:5
E0++E0E0E0E2-- S2= 0.0 Sz= 0.0 P=0:6
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:5
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:6
E0++E0E0E2--E0 S2= 0.0 Sz= 0.0 P=0:4
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:7
E0++E0E0E1-E1- S2= 0.0 Sz= 0.0 P=0:8
E0++E0E0E2--E0 S2= 0.0 Sz= 0.0 P=0:5
E0++E0E0E2--E0 S2= 0.0 Sz= 0.0 P=0:6
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:5
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:6
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:5
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:6
E0++E0E2--E0E0 S2= 0.0 Sz= 0.0 P=0:4
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:7
E0++E0E1-E0E1- S2= 0.0 Sz= 0.0 P=0:8
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:7
E0++E0E1-E1-E0 S2= 0.0 Sz= 0.0 P=0:8
E0++E0E2--E0E0 S2= 0.0 Sz= 0.0 P=0:5
E0++E0E2--E0E0 S2= 0.0 Sz= 0.0 P=0:6
E0++E1-E0E0E1- S2= 0.0 Sz= 0.0 P=0:5
E0++E1-E0E0E1- S2= 0.0 Sz= 0.0 P=0:6
